"Notes"	"State"	"State Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Year of Death"	"Year of Death Code"	"Month"	"Month Code"	Deaths	Births	Death Rate
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"February"	"2"	16	5926	2.70 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	10	3674	2.72 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	22	8065	2.73
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"April"	"4"	18	6597	2.73 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	21	7558	2.78
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	19	6829	2.78 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	20	7174	2.79
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	20	7011	2.85
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	10	3491	2.86 (Unreliable)
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	16	5559	2.88 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	11	3787	2.90 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	12	4130	2.91 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	23	7907	2.91
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	11	3767	2.92 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	10	3419	2.92 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	13	4400	2.95 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	11	3715	2.96 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	19	6249	3.04 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	23	7531	3.05
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	14	4544	3.08 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	22	7140	3.08
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"February"	"2"	11	3534	3.11 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	21	6662	3.15
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	10	3166	3.16 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	22	6964	3.16
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	26	8168	3.18
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	12	3694	3.25 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	20	6152	3.25
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	14	4304	3.25 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	13	3994	3.25 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	13	3981	3.27 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	14	4275	3.27 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	26	7898	3.29
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	24	7281	3.30
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	11	3328	3.31 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	14	4225	3.31 (Unreliable)
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	19	5730	3.32 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	13	3888	3.34 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	23	6817	3.37
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	13	3830	3.39 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	12	3524	3.41 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	24	7021	3.42
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	29	8425	3.44
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	30	8577	3.50
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	24	6856	3.50
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	14	3981	3.52 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	24	6808	3.53
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	24	6805	3.53
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	15	4243	3.54 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	30	8479	3.54
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	14	3954	3.54 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	12	3381	3.55 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	28	7852	3.57
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	25	6958	3.59
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"February"	"2"	25	6897	3.62
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	22	6069	3.62
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	10	2755	3.63 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	16	4404	3.63 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	26	7156	3.63
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	27	7425	3.64
	"New York"	"36"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	10	2748	3.64 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	29	7961	3.64
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"April"	"4"	28	7684	3.64
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	25	6858	3.65
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	13	3563	3.65 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	14	3822	3.66 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	26	7097	3.66
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	27	7300	3.70
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	14	3780	3.70 (Unreliable)
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	10	2692	3.71 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	28	7421	3.77
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"February"	"2"	24	6335	3.79
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	15	3959	3.79 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	14	3694	3.79 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	26	6832	3.81
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	31	8134	3.81
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	15	3931	3.82 (Unreliable)
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	12	3121	3.84 (Unreliable)
	"Illinois"	"17"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	12	3086	3.89 (Unreliable)
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	16	4108	3.89 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	27	6930	3.90
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	24	6152	3.90
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	29	7426	3.91
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	27	6904	3.91
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	32	8164	3.92
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"April"	"4"	10	2546	3.93 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	15	3815	3.93 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	30	7619	3.94
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	11	2786	3.95 (Unreliable)
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	10	2521	3.97 (Unreliable)
	"Illinois"	"17"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	11	2766	3.98 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	30	7526	3.99
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	29	7263	3.99
	"Michigan"	"26"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	10	2504	3.99 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	27	6756	4.00
	"New York"	"36"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	12	2998	4.00 (Unreliable)
	"Illinois"	"17"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	12	2986	4.02 (Unreliable)
	"New York"	"36"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"February"	"2"	10	2484	4.03 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	18	4427	4.07 (Unreliable)
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	11	2683	4.10 (Unreliable)
	"Illinois"	"17"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	10	2422	4.13 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	27	6539	4.13
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	27	6508	4.15
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	33	7943	4.15
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"April"	"4"	20	4812	4.16
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	30	7187	4.17
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	27	6461	4.18
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"April"	"4"	25	5982	4.18
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	17	4061	4.19 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	32	7642	4.19
	"Illinois"	"17"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	10	2379	4.20 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	26	6175	4.21
	"Ohio"	"39"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	11	2603	4.23 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	30	7093	4.23
	"New York"	"36"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	18	4243	4.24 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	16	3768	4.25 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	17	4003	4.25 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"June"	"6"	18	4222	4.26 (Unreliable)
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	11	2560	4.30 (Unreliable)
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	24	5567	4.31
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	11	2550	4.31 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	28	6470	4.33
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	18	4157	4.33 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	37	8527	4.34
	"Illinois"	"17"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	10	2301	4.35 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	18	4138	4.35 (Unreliable)
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	11	2528	4.35 (Unreliable)
	"Ohio"	"39"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	12	2745	4.37 (Unreliable)
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	26	5938	4.38
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	19	4336	4.38 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	18	4097	4.39 (Unreliable)
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	12	2731	4.39 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"September"	"9"	35	7962	4.40
	"New York"	"36"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	11	2495	4.41 (Unreliable)
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	10	2268	4.41 (Unreliable)
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"May"	"5"	10	2266	4.41 (Unreliable)
	"Michigan"	"26"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	11	2492	4.41 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	15	3395	4.42 (Unreliable)
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"February"	"2"	21	4752	4.42
	"Michigan"	"26"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"July"	"7"	10	2257	4.43 (Unreliable)
	"California"	"06"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	34	7667	4.43
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	28	6305	4.44
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	26	5851	4.44
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	15	3358	4.47 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"April"	"4"	17	3803	4.47 (Unreliable)
	"Florida"	"12"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	17	3790	4.49 (Unreliable)
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	14	3111	4.50 (Unreliable)
	"Illinois"	"17"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	12	2657	4.52 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	18	3985	4.52 (Unreliable)
	"New York"	"36"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	12	2650	4.53 (Unreliable)
	"Illinois"	"17"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	13	2862	4.54 (Unreliable)
	"Ohio"	"39"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	11	2403	4.58 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	17	3707	4.59 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	35	7599	4.61
	"California"	"06"	"30-34 years"	"30-34"	"Asian"	"A"	"2022"	"2022"	"July"	"7"	10	2169	4.61 (Unreliable)
	"Florida"	"12"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	10	2167	4.61 (Unreliable)
	"Michigan"	"26"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	10	2160	4.63 (Unreliable)
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	24	5182	4.63
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	38	8203	4.63
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	33	7112	4.64
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	37	7950	4.65
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	18	3865	4.66 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"June"	"6"	31	6652	4.66
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	35	7498	4.67
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	10	2133	4.69 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	20	4254	4.70
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	12	2549	4.71 (Unreliable)
	"Ohio"	"39"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"October"	"10"	12	2548	4.71 (Unreliable)
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	34	7194	4.73
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	20	4225	4.73
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"December"	"12"	13	2727	4.77 (Unreliable)
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"April"	"4"	33	6921	4.77
	"Texas"	"48"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	38	7968	4.77
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"July"	"7"	21	4395	4.78
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	"White"	"2106-3"	"2021"	"2021"	"May"	"5"	11	2301	4.78 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	23	4800	4.79
	"Texas"	"48"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"November"	"11"	27	5633	4.79
	"Texas"	"48"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"February"	"2"	27	5630	4.80
	"Florida"	"12"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	10	2085	4.80 (Unreliable)
	"Florida"	"12"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"January"	"1"	20	4155	4.81
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"August"	"8"	13	2700	4.81 (Unreliable)
	"California"	"06"	"20-24 years"	"20-24"	"White"	"2106-3"	"2022"	"2022"	"March"	"3"	19	3941	4.82 (Unreliable)
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"August"	"8"	12	2488	4.82 (Unreliable)
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"March"	"3"	14	2902	4.82 (Unreliable)
	"Ohio"	"39"	"25-29 years"	"25-29"	"White"	"2106-3"	"2022"	"2022"	"December"	"12"	12	2486	4.83 (Unreliable)
	"Florida"	"12"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"October"	"10"	11	2278	4.83 (Unreliable)
	"California"	"06"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"January"	"1"	35	7248	4.83
	"North Carolina"	"37"	"30-34 years"	"30-34"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	10	2067	4.84 (Unreliable)
	"Ohio"	"39"	"30-34 years"	"30-34"	"White"	"2106-3"	"2022"	"2022"	"September"	"9"	12	2479	4.84 (Unreliable)
	"Florida"	"12"	"20-24 years"	"20-24"	"White"	"2106-3"	"2021"	"2021"	"November"	"11"	10	2065	4.84 (Unreliable)
